iter	Passed	Remaining
0	145	43465
1	159	23735
2	173	17198
3	187	13901
4	201	11863
5	214	10534
6	228	9550
7	240	8784
8	254	8237
9	269	7802
10	282	7431
11	296	7106
12	309	6840
13	324	6626
14	337	6413
15	350	6226
16	363	6058
17	377	5911
18	390	5774
19	404	5656
20	417	5545
21	429	5432
22	444	5347
23	456	5254
24	470	5170
25	482	5085
26	495	5012
27	509	4945
28	522	4878
29	535	4818
30	548	4760
31	561	4705
32	574	4650
33	588	4603
34	606	4590
35	625	4585
36	645	4588
37	663	4571
38	677	4531
39	692	4502
40	705	4459
41	718	4412
42	730	4365
43	742	4320
44	755	4281
45	767	4237
46	780	4200
47	794	4168
48	806	4133
49	820	4101
50	832	4065
51	847	4042
52	862	4021
53	876	3991
54	890	3968
55	905	3943
56	918	3917
57	931	3888
58	944	3858
59	957	3830
60	970	3801
61	984	3778
62	998	3754
63	1010	3727
64	1024	3704
65	1037	3678
66	1050	3654
67	1063	3627
68	1075	3601
69	1088	3577
70	1101	3551
71	1113	3526
72	1125	3500
73	1138	3476
74	1151	3453
75	1163	3430
76	1176	3408
77	1189	3386
78	1203	3365
79	1215	3343
80	1227	3318
81	1240	3296
82	1252	3274
83	1266	3256
84	1278	3234
85	1291	3212
86	1304	3193
87	1316	3171
88	1329	3150
89	1341	3129
90	1353	3108
91	1366	3088
92	1378	3068
