iter	Logloss
0	0.6461054473
1	0.6078545156
2	0.572765117
3	0.5489032208
4	0.5308772608
5	0.5137224674
6	0.4967752748
7	0.4887856483
8	0.479126975
9	0.4692914376
10	0.4599569713
11	0.452617749
12	0.441733045
13	0.4347054496
14	0.4294017647
15	0.4222496695
16	0.4170361192
17	0.4113851408
18	0.4063202922
19	0.4026317705
20	0.4010619609
21	0.3953889977
22	0.3917806613
23	0.3891945119
24	0.3873544217
25	0.3858009718
26	0.3827939015
27	0.3786301314
28	0.3762226448
29	0.3743452585
30	0.3732162996
31	0.3701897461
32	0.3690368541
33	0.3683713865
34	0.3660232922
35	0.364194649
36	0.3626056485
37	0.360957223
38	0.3577283998
39	0.356582154
40	0.354695524
41	0.3541589586
42	0.3536351486
43	0.3532166092
44	0.3527397606
45	0.3522514217
46	0.3516361579
47	0.3510847976
48	0.3503461159
49	0.3495357817
50	0.3491712045
51	0.3481007596
52	0.347736973
53	0.347417132
54	0.3463809089
55	0.3460456403
56	0.3457846672
57	0.3455142698
58	0.3452567469
59	0.3450134758
60	0.3440757056
61	0.3437605884
62	0.3425986684
63	0.3423532788
64	0.3421256167
65	0.3419415522
66	0.3417451995
67	0.3415118794
68	0.3412988018
69	0.3405723303
70	0.3400127676
71	0.3397678267
72	0.3395694956
73	0.3393083378
74	0.3391417197
75	0.3382582697
76	0.3380534535
77	0.3378463956
78	0.3376652277
79	0.3374992521
80	0.3372980273
81	0.3365706895
82	0.3363449199
83	0.334988052
84	0.3347943267
85	0.3342309056
86	0.3339829834
87	0.3338501582
88	0.3333039362
89	0.3326428983
90	0.3325076654
91	0.332323287
92	0.3321195734
