iter	Passed	Remaining
0	152	45537
1	167	24889
2	181	17919
3	194	14408
4	208	12290
5	222	10885
6	236	9879
7	249	9123
8	263	8518
9	277	8044
10	291	7658
11	305	7338
12	319	7051
13	333	6812
14	347	6600
15	361	6415
16	374	6241
17	388	6082
18	402	5946
19	415	5813
20	427	5686
21	440	5572
22	453	5466
23	466	5366
24	480	5283
25	492	5192
26	506	5120
27	519	5050
28	533	4985
29	547	4925
30	560	4863
31	573	4801
32	585	4741
33	598	4685
34	612	4634
35	625	4585
36	638	4536
37	650	4487
38	664	4445
39	677	4406
40	692	4372
41	704	4328
42	716	4284
43	729	4246
44	743	4215
45	757	4184
46	770	4149
47	785	4122
48	798	4092
49	813	4069
50	827	4038
51	841	4011
52	857	3995
53	882	4020
54	895	3989
55	908	3960
56	921	3930
57	935	3901
58	947	3871
59	961	3844
60	973	3815
61	987	3792
62	1001	3767
63	1014	3742
64	1028	3719
65	1041	3693
66	1054	3666
67	1067	3640
68	1080	3617
69	1093	3594
70	1106	3570
71	1120	3547
72	1132	3522
73	1145	3499
74	1158	3476
75	1171	3451
76	1184	3431
77	1198	3410
78	1210	3387
79	1223	3365
80	1236	3343
81	1249	3321
82	1262	3299
83	1276	3281
84	1288	3258
85	1301	3237
86	1314	3219
87	1327	3198
88	1340	3178
89	1354	3160
90	1368	3142
91	1382	3125
92	1395	3106
